OBJECTID,PointCount,ORIG_FID,POINT_X,POINT_Y,POINT_Z
186,667,34696,319940.845300000160933,100726.805199999362230,-0.149475166661432
187,102,19975,319944.457200000062585,100726.823499999940395,-0.271194083325099
188,667,34696,319944.506000000052154,100726.832599999383092,-0.219356916655670
189,327,34657,319940.446000000461936,100726.847899999469519,-0.210498666667263
190,102,19975,319928.104700000025332,100726.857000000774860,0.420733666673186
191,102,19975,319931.554999999701977,100726.863099999725819,-0.149475166661432
192,667,34696,319939.754099999554455,100726.896600000560284,-0.100590749992989
193,667,34696,319943.536700000055134,100726.908800000324845,-0.188845166660030
194,327,34657,319939.485899999737740,100726.921000000089407,-0.179986916657072
195,667,34696,319942.625400000251830,100726.963700000196695,0.070012583339121
196,102,19975,319932.512099999934435,100726.969799999147654,-0.100590749992989
197,102,19975,319929.250699999742210,100726.988099999725819,0.359710166667355
198,667,34696,319938.632500000298023,100726.988099999725819,-0.188845166660030
199,327,34657,319934.502399999648333,100726.991100000217557,-0.188845166660030
200,327,34657,319938.461799999698997,100726.997199999168515,-0.341403916667332
201,667,34696,319941.592100000008941,100727.058199999853969,-0.201312333330861
202,327,34657,319933.411199999973178,100727.073400000110269,-0.179986916657072
203,102,19975,319933.530100000090897,100727.085599999874830,-0.201312333330861
204,116,20564,319939.360899999737740,100727.100899999961257,-0.118963416665792
205,102,19975,319930.448599999770522,100727.107000000774860,0.039500833343482
206,667,34696,319940.619800000451505,100727.140499999746680,-0.188845166660030
207,327,34657,319932.307900000363588,100727.155700000002980,-0.210498666667263
208,116,20564,319940.351499999873340,100727.195299999788404,-0.149475166661432
209,667,34696,319939.668800000101328,100727.204500000923872,-0.149475166661432
210,102,19975,319931.637299999594688,100727.234999999403954,-0.219356916655670
211,327,34657,319931.207499999552965,100727.237999999895692,-0.179986916657072
212,327,34657,319934.609100000001490,100727.283700000494719,-0.240682333329460
213,667,34696,319938.699500000104308,100727.289799999445677,-0.149475166661432
214,116,20564,319941.308600000105798,100727.301999999210238,-0.060892666660948
215,327,34657,319930.256599999964237,100727.314200000837445,0.298686666676076
216,667,34696,319934.255499999970198,100727.338600000366569,-0.228543249992072
